fighter_name,fighter_url,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,recent_fights_count,fight_0_date,fight_0_event,fight_0_method,fight_0_opponent,fight_0_result,fight_0_round,fight_1_date,fight_1_event,fight_1_method,fight_1_opponent,fight_1_result,fight_1_round,fight_2_date,fight_2_event,fight_2_method,fight_2_opponent,fight_2_result,fight_2_round,fight_3_date,fight_3_event,fight_3_method,fight_3_opponent,fight_3_result,fight_3_round,fight_4_date,fight_4_event,fight_4_method,fight_4_opponent,fight_4_result,fight_4_round,fight_5_date,fight_5_event,fight_5_method,fight_5_opponent,fight_5_result,fight_5_round,fight_6_date,fight_6_event,fight_6_method,fight_6_opponent,fight_6_result,fight_6_round,fight_7_date,fight_7_event,fight_7_method,fight_7_opponent,fight_7_result,fight_7_round,fight_8_date,fight_8_event,fight_8_method,fight_8_opponent,fight_8_result,fight_8_round,fight_9_date,fight_9_event,fight_9_method,fight_9_opponent,fight_9_result,fight_9_round
Islam Dulatov,http://www.ufcstats.com/fighter-details/e803242fb2e41112,8.78,54,4.24,50,2.20,100,100,0.0,2,"Jul. 19, 2025",UFC 318: Holloway vs. Poirier 3,KO/TKO,Adam Fugitt,win,1,"Oct. 08, 2024",DWCS 8.9,KO/TKO,Vanilto Antunes,win,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellington Turman,http://www.ufcstats.com/fighter-details/4dcfb28c011c11b2,3.23,51,4.17,45,1.55,20,42,0.8,9,"Dec. 02, 2023",UFC Fight Night: Dariush vs. Tsarukyan,,Jared Gooden,loss,2,"Jun. 24, 2023",UFC Fight Night: Emmett vs. Topuria,,Randy Brown,loss,3,"Nov. 12, 2022",UFC 281: Adesanya vs. Pereira,,Andre Petroski,loss,3,"Feb. 26, 2022",UFC Fight Night: Makhachev vs. Green,,Misha Cirkunov,win,2,"Aug. 28, 2021",UFC Fight Night: Barboza vs. Chikadze,,Sam Alvey,win,3,"Jun. 19, 2021",UFC Fight Night: Jung vs. Ige,KO/TKO,Bruno Silva,loss,1,"Aug. 08, 2020",UFC Fight Night: Lewis vs. Oleinik,KO/TKO,Andrew Sanchez,loss,1,"Nov. 16, 2019",UFC Fight Night: Blachowicz vs. Jacare,,Markus Perez,win,3,"Jul. 13, 2019",UFC Fight Night: De Randamie vs. Ladd,,Karl Roberson,loss,3,,,,,,
Magomed Zaynukov,http://www.ufcstats.com/fighter-details/04ff3a711504d6b3,15.67,60,4.80,58,2.00,100,0,0.0,1,"Oct. 07, 2025",DWCS 9.9,,Lucas Caldas,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Rzepecki,http://www.ufcstats.com/fighter-details/99223fbb4a05326b,0.00,0,0.00,0,0.00,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rizvan Kuniev,http://www.ufcstats.com/fighter-details/739fd4fbb5d862f4,3.94,54,2.33,48,0.98,75,93,0.0,4,"Feb. 07, 2026",UFC Fight Night: Bautista vs. Oliveira,,Jailton Almeida,win,3,"Jun. 21, 2025",UFC Fight Night: Hill vs. Rountree Jr.,,Curtis Blaydes,loss,3,"Aug. 20, 2024",DWCS 8.2,KO/TKO,Hugo Cunha,win,1,"Sep. 28, 2021",DWCS 5.5,KO/TKO,Edivan Santos,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Fortune,http://www.ufcstats.com/fighter-details/bc7f4b2d4c2724a2,2.00,50,3.13,57,3.00,60,100,0.0,1,"Mar. 28, 2026",UFC Fight Night: Adesanya vs. Pyfer,,Marcin Tybura,win,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valter Walker,http://www.ufcstats.com/fighter-details/f5779a2303ed76ec,2.00,52,2.85,42,5.74,69,0,2.5,5,"Oct. 25, 2025",UFC 321: Aspinall vs. Gane,,Louie Sutherland,win,1,"Jul. 12, 2025",UFC Fight Night: Lewis vs. Teixeira,,Kennedy Nzechukwu,win,1,"Feb. 15, 2025",UFC Fight Night: Cannonier vs. Rodrigues,,Don'Tale Mayes,win,1,"Aug. 17, 2024",UFC 305: Du Plessis vs. Adesanya,,Junior Tafa,win,1,"Apr. 06, 2024",UFC Fight Night: Allen vs. Curtis 2,,Lukasz Brzeski,loss,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Petersen,http://www.ufcstats.com/fighter-details/764d39074a352e33,3.10,59,2.61,54,3.01,43,87,0.4,7,"Apr. 04, 2026",UFC Fight Night: Moicano vs. Duncan,,Guilherme Pat,win,3,"Oct. 11, 2025",UFC Fight Night: Oliveira vs. Gamrot,KO/TKO,Vitor Petrino,loss,3,"May. 03, 2025",UFC Fight Night: Sandhagen vs. Figueiredo,,Don'Tale Mayes,win,3,"Feb. 01, 2025",UFC Fight Night: Adesanya vs. Imavov,KO/TKO,Shamil Gaziev,loss,1,"Jul. 20, 2024",UFC Fight Night: Lemos vs. Jandiroba,,Mohammed Usman,win,3,"Feb. 03, 2024",UFC Fight Night: Dolidze vs. Imavov,,Jamal Pogues,loss,3,"Aug. 29, 2023",DWCS 7.4,,Chandler Cole,win,2,,,,,,,,,,,,,,,,,,
Uran Satybaldiev,http://www.ufcstats.com/fighter-details/02f484417a6fa69d,2.14,25,3.66,44,0.00,0,50,1.7,2,"Aug. 23, 2025",UFC Fight Night: Walker vs. Zhang,,Diyar Nurgozhay,win,1,"Apr. 05, 2025",UFC Fight Night: Emmett vs. Murphy,,Martin Buday,loss,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Jacoby,http://www.ufcstats.com/fighter-details/e4277e87a789d687,5.40,48,3.92,57,0.32,25,62,0.0,18,"Feb. 07, 2026",UFC Fight Night: Bautista vs. Oliveira,KO/TKO,Julius Walker,win,2,"May. 31, 2025",UFC Fight Night: Blanchfield vs. Barber,KO/TKO,Bruno Lopes,win,1,"Dec. 14, 2024",UFC Fight Night: Covington vs. Buckley,KO/TKO,Vitor Petrino,win,3,"Jun. 08, 2024",UFC Fight Night: Cannonier vs. Imavov,KO/TKO,Dominick Reyes,loss,1,"Dec. 16, 2023",UFC 296: Edwards vs. Covington,,Alonzo Menifield,loss,3,"Aug. 05, 2023",UFC Fight Night: Sandhagen vs. Font,KO/TKO,Kennedy Nzechukwu,win,1,"Apr. 15, 2023",UFC Fight Night: Holloway vs. Allen,,Azamat Murzakanov,loss,3,"Oct. 29, 2022",UFC Fight Night: Kattar vs. Allen,,Khalil Rountree Jr.,loss,3,"Jul. 16, 2022",UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,Da Woon Jung,win,1,"Mar. 05, 2022",UFC 272: Covington vs. Masvidal,,Michal Oleksiejczuk,win,3
