EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC 252: Miocic vs. Cormier 3,Livinha Souza vs. Ashley Yoder,Total,Ashley Yoder,00,6 of 2210 of 19,27%52%,34 of 5120 of 30,0 of 00 of 1,---0%,00,00,1:121:26,,,,,,
UFC 252: Miocic vs. Cormier 3,Livinha Souza vs. Ashley Yoder,Total,Ashley Yoder,00,6 of 2013 of 18,30%72%,28 of 4621 of 26,0 of 10 of 0,0%---,00,00,2:260:31,,,,,,
UFC 252: Miocic vs. Cormier 3,Livinha Souza vs. Ashley Yoder,Total,Ashley Yoder,00,20 of 7223 of 33,27%69%,27 of 7929 of 39,0 of 01 of 3,---33%,00,00,0:120:46,,,,,,
UFC 252: Miocic vs. Cormier 3,Livinha Souza vs. Ashley Yoder,Total,Ashley Yoder,,,,,,,,,,6 of 2210 of 19,27%52%,3 of 157 of 13,2 of 52 of 3,1 of 21 of 3,6 of 215 of 12
UFC 252: Miocic vs. Cormier 3,Livinha Souza vs. Ashley Yoder,Total,Ashley Yoder,,,,,,,,,,6 of 2013 of 18,30%72%,5 of 163 of 8,0 of 24 of 4,1 of 26 of 6,6 of 2010 of 13
UFC 252: Miocic vs. Cormier 3,Livinha Souza vs. Ashley Yoder,Total,Ashley Yoder,,,,,,,,,,20 of 7223 of 33,27%69%,15 of 615 of 12,4 of 72 of 4,1 of 416 of 17,20 of 7121 of 30
UFC 252: Miocic vs. Cormier 3,Chris Daukaus vs. Parker Porter,Total,Chris Daukaus,20,37 of 5917 of 52,62%32%,45 of 6718 of 53,0 of 00 of 0,------,00,00,0:350:00,,,,,,
UFC 252: Miocic vs. Cormier 3,Chris Daukaus vs. Parker Porter,Total,Chris Daukaus,20,37 of 5917 of 52,62%32%,45 of 6718 of 53,0 of 00 of 0,------,00,00,0:350:00,,,,,,
UFC 252: Miocic vs. Cormier 3,Chris Daukaus vs. Parker Porter,Total,Chris Daukaus,,,,,,,,,,37 of 5917 of 52,62%32%,29 of 4912 of 44,4 of 61 of 4,4 of 44 of 4,29 of 5014 of 47
UFC 252: Miocic vs. Cormier 3,Kai Kamaka III vs. Tony Kelley,Total,Kai Kamaka III,00,114 of 185114 of 226,61%50%,138 of 216185 of 298,5 of 50 of 1,100%0%,00,00,5:090:00,,,,,,
UFC 252: Miocic vs. Cormier 3,Kai Kamaka III vs. Tony Kelley,Total,Kai Kamaka III,00,43 of 7224 of 59,59%40%,49 of 7937 of 72,3 of 30 of 0,100%---,00,00,1:130:00,,,,,,
UFC 252: Miocic vs. Cormier 3,Kai Kamaka III vs. Tony Kelley,Total,Kai Kamaka III,00,32 of 5643 of 81,57%53%,34 of 5863 of 102,2 of 20 of 1,100%0%,00,00,1:370:00,,,,,,
UFC 252: Miocic vs. Cormier 3,Kai Kamaka III vs. Tony Kelley,Total,Kai Kamaka III,00,39 of 5747 of 86,68%54%,55 of 7985 of 124,0 of 00 of 0,------,00,00,2:190:00,,,,,,
UFC 252: Miocic vs. Cormier 3,Kai Kamaka III vs. Tony Kelley,Total,Kai Kamaka III,,,,,,,,,,43 of 7224 of 59,59%40%,22 of 495 of 35,21 of 239 of 14,0 of 010 of 10,34 of 6222 of 57
UFC 252: Miocic vs. Cormier 3,Kai Kamaka III vs. Tony Kelley,Total,Kai Kamaka III,,,,,,,,,,32 of 5643 of 81,57%53%,12 of 3229 of 56,19 of 2311 of 20,1 of 13 of 5,30 of 5424 of 60
UFC 252: Miocic vs. Cormier 3,Kai Kamaka III vs. Tony Kelley,Total,Kai Kamaka III,,,,,,,,,,39 of 5747 of 86,68%54%,15 of 3229 of 61,24 of 2515 of 20,0 of 03 of 5,26 of 4430 of 65
UFC Fight Night: Lewis vs. Oleinik,Derrick Lewis vs. Aleksei Oleinik,Total,Derrick Lewis,10,35 of 422 of 6,83%33%,35 of 423 of 7,1 of 11 of 1,100%100%,02,11,2:392:21,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Derrick Lewis vs. Aleksei Oleinik,Total,Derrick Lewis,00,13 of 192 of 4,68%50%,13 of 193 of 5,1 of 11 of 1,100%100%,02,11,2:272:21,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Derrick Lewis vs. Aleksei Oleinik,Total,Derrick Lewis,10,22 of 230 of 2,95%0%,22 of 230 of 2,0 of 00 of 0,------,00,00,0:120:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Derrick Lewis vs. Aleksei Oleinik,Total,Derrick Lewis,,,,,,,,,,13 of 192 of 4,68%50%,13 of 191 of 3,0 of 01 of 1,0 of 00 of 0,3 of 51 of 3
UFC Fight Night: Lewis vs. Oleinik,Derrick Lewis vs. Aleksei Oleinik,Total,Derrick Lewis,,,,,,,,,,22 of 230 of 2,95%0%,21 of 220 of 1,1 of 10 of 1,0 of 00 of 0,2 of 20 of 2
UFC Fight Night: Lewis vs. Oleinik,Chris Weidman vs. Omari Akhmedov,Total,Omari Akhmedov,00,33 of 9129 of 56,36%51%,60 of 11867 of 98,4 of 85 of 16,50%31%,00,00,1:348:17,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Chris Weidman vs. Omari Akhmedov,Total,Omari Akhmedov,00,6 of 255 of 15,24%33%,19 of 3813 of 24,0 of 12 of 7,0%28%,00,00,0:002:59,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Chris Weidman vs. Omari Akhmedov,Total,Omari Akhmedov,00,25 of 6215 of 30,40%50%,32 of 6923 of 40,4 of 70 of 5,57%0%,00,00,1:340:37,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Chris Weidman vs. Omari Akhmedov,Total,Omari Akhmedov,00,2 of 49 of 11,50%81%,9 of 1131 of 34,0 of 03 of 4,---75%,00,00,0:004:41,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Chris Weidman vs. Omari Akhmedov,Total,Omari Akhmedov,,,,,,,,,,6 of 255 of 15,24%33%,4 of 234 of 13,1 of 11 of 2,1 of 10 of 0,4 of 224 of 14
UFC Fight Night: Lewis vs. Oleinik,Chris Weidman vs. Omari Akhmedov,Total,Omari Akhmedov,,,,,,,,,,25 of 6215 of 30,40%50%,20 of 5512 of 26,5 of 73 of 4,0 of 00 of 0,16 of 4912 of 26
UFC Fight Night: Lewis vs. Oleinik,Chris Weidman vs. Omari Akhmedov,Total,Omari Akhmedov,,,,,,,,,,2 of 49 of 11,50%81%,1 of 39 of 11,1 of 10 of 0,0 of 00 of 0,1 of 31 of 2
UFC Fight Night: Lewis vs. Oleinik,Darren Stewart vs. Maki Pitolo,Total,Maki Pitolo,00,12 of 3113 of 38,38%34%,14 of 3314 of 39,1 of 10 of 1,100%0%,01,00,0:170:19,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Darren Stewart vs. Maki Pitolo,Total,Maki Pitolo,00,12 of 3113 of 38,38%34%,14 of 3314 of 39,1 of 10 of 1,100%0%,01,00,0:170:19,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Darren Stewart vs. Maki Pitolo,Total,Maki Pitolo,,,,,,,,,,12 of 3113 of 38,38%34%,7 of 229 of 32,4 of 82 of 4,1 of 12 of 2,12 of 3113 of 38
UFC Fight Night: Lewis vs. Oleinik,Yana Santos vs. Julija Stoliarenko,Total,Yana Santos,00,43 of 576 of 26,75%23%,209 of 25430 of 50,1 of 20 of 1,50%0%,00,00,13:160:21,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Yana Santos vs. Julija Stoliarenko,Total,Yana Santos,00,8 of 122 of 8,66%25%,64 of 7818 of 24,0 of 00 of 1,---0%,00,00,4:220:18,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Yana Santos vs. Julija Stoliarenko,Total,Yana Santos,00,23 of 261 of 2,88%50%,92 of 1082 of 3,1 of 20 of 0,50%---,00,00,4:440:03,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Yana Santos vs. Julija Stoliarenko,Total,Yana Santos,00,12 of 193 of 16,63%18%,53 of 6810 of 23,0 of 00 of 0,------,00,00,4:100:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Yana Santos vs. Julija Stoliarenko,Total,Yana Santos,,,,,,,,,,8 of 122 of 8,66%25%,3 of 72 of 7,4 of 40 of 1,1 of 10 of 0,1 of 41 of 5
UFC Fight Night: Lewis vs. Oleinik,Yana Santos vs. Julija Stoliarenko,Total,Yana Santos,,,,,,,,,,23 of 261 of 2,88%50%,11 of 141 of 2,10 of 100 of 0,2 of 20 of 0,0 of 11 of 2
UFC Fight Night: Lewis vs. Oleinik,Yana Santos vs. Julija Stoliarenko,Total,Yana Santos,,,,,,,,,,12 of 193 of 16,63%18%,6 of 132 of 14,6 of 61 of 2,0 of 00 of 0,7 of 143 of 16
UFC Fight Night: Lewis vs. Oleinik,Beneil Dariush vs. Scott Holtzman,Total,Beneil Dariush,10,36 of 649 of 18,56%50%,36 of 6411 of 20,0 of 20 of 1,0%0%,00,00,1:570:24,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Beneil Dariush vs. Scott Holtzman,Total,Beneil Dariush,10,36 of 649 of 18,56%50%,36 of 6411 of 20,0 of 20 of 1,0%0%,00,00,1:570:24,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Beneil Dariush vs. Scott Holtzman,Total,Beneil Dariush,,,,,,,,,,36 of 649 of 18,56%50%,30 of 574 of 12,3 of 43 of 4,3 of 32 of 2,33 of 609 of 18
UFC Fight Night: Lewis vs. Oleinik,Tim Means vs. Laureano Staropoli,Total,Tim Means,10,85 of 14771 of 161,57%44%,126 of 18981 of 172,2 of 60 of 1,33%0%,00,00,6:070:04,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Tim Means vs. Laureano Staropoli,Total,Tim Means,00,26 of 5233 of 70,50%47%,31 of 5734 of 71,1 of 20 of 0,50%---,00,00,1:350:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Tim Means vs. Laureano Staropoli,Total,Tim Means,10,41 of 6628 of 67,62%41%,44 of 7028 of 67,1 of 10 of 0,100%---,00,00,0:500:02,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Tim Means vs. Laureano Staropoli,Total,Tim Means,00,18 of 2910 of 24,62%41%,51 of 6219 of 34,0 of 30 of 1,0%0%,00,00,3:420:02,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Tim Means vs. Laureano Staropoli,Total,Tim Means,,,,,,,,,,26 of 5233 of 70,50%47%,15 of 4022 of 49,8 of 99 of 19,3 of 32 of 2,21 of 4232 of 69
UFC Fight Night: Lewis vs. Oleinik,Tim Means vs. Laureano Staropoli,Total,Tim Means,,,,,,,,,,41 of 6628 of 67,62%41%,28 of 5218 of 53,10 of 117 of 11,3 of 33 of 3,29 of 5128 of 66
UFC Fight Night: Lewis vs. Oleinik,Tim Means vs. Laureano Staropoli,Total,Tim Means,,,,,,,,,,18 of 2910 of 24,62%41%,12 of 237 of 19,5 of 53 of 5,1 of 10 of 0,11 of 2210 of 24
UFC Fight Night: Lewis vs. Oleinik,Kevin Holland vs. Joaquin Buckley,Total,Kevin Holland,20,79 of 13440 of 120,58%33%,86 of 14141 of 121,0 of 00 of 2,---0%,00,00,0:120:13,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Kevin Holland vs. Joaquin Buckley,Total,Kevin Holland,10,32 of 5420 of 57,59%35%,34 of 5620 of 57,0 of 00 of 0,------,00,00,0:120:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Kevin Holland vs. Joaquin Buckley,Total,Kevin Holland,00,41 of 7317 of 55,56%30%,46 of 7818 of 56,0 of 00 of 2,---0%,00,00,0:000:13,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Kevin Holland vs. Joaquin Buckley,Total,Kevin Holland,10,6 of 73 of 8,85%37%,6 of 73 of 8,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Kevin Holland vs. Joaquin Buckley,Total,Kevin Holland,,,,,,,,,,32 of 5420 of 57,59%35%,17 of 323 of 25,6 of 1315 of 30,9 of 92 of 2,25 of 4513 of 47
UFC Fight Night: Lewis vs. Oleinik,Kevin Holland vs. Joaquin Buckley,Total,Kevin Holland,,,,,,,,,,41 of 7317 of 55,56%30%,24 of 491 of 29,10 of 1715 of 25,7 of 71 of 1,40 of 7217 of 55
UFC Fight Night: Lewis vs. Oleinik,Kevin Holland vs. Joaquin Buckley,Total,Kevin Holland,,,,,,,,,,6 of 73 of 8,85%37%,4 of 52 of 5,2 of 21 of 3,0 of 00 of 0,6 of 73 of 8
UFC Fight Night: Lewis vs. Oleinik,Nasrat Haqparast vs. Alexander Munoz,Total,Nasrat Haqparast,00,104 of 21537 of 144,48%25%,108 of 21940 of 147,0 of 01 of 8,---12%,00,00,0:020:54,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Nasrat Haqparast vs. Alexander Munoz,Total,Nasrat Haqparast,00,24 of 5710 of 30,42%33%,28 of 6113 of 33,0 of 01 of 5,---20%,00,00,0:000:53,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Nasrat Haqparast vs. Alexander Munoz,Total,Nasrat Haqparast,00,36 of 7112 of 44,50%27%,36 of 7112 of 44,0 of 00 of 2,---0%,00,00,0:020:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Nasrat Haqparast vs. Alexander Munoz,Total,Nasrat Haqparast,00,44 of 8715 of 70,50%21%,44 of 8715 of 70,0 of 00 of 1,---0%,00,00,0:000:01,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Nasrat Haqparast vs. Alexander Munoz,Total,Nasrat Haqparast,,,,,,,,,,24 of 5710 of 30,42%33%,22 of 558 of 28,2 of 22 of 2,0 of 00 of 0,23 of 566 of 26
UFC Fight Night: Lewis vs. Oleinik,Nasrat Haqparast vs. Alexander Munoz,Total,Nasrat Haqparast,,,,,,,,,,36 of 7112 of 44,50%27%,33 of 6711 of 43,3 of 40 of 0,0 of 01 of 1,36 of 7112 of 44
UFC Fight Night: Lewis vs. Oleinik,Nasrat Haqparast vs. Alexander Munoz,Total,Nasrat Haqparast,,,,,,,,,,44 of 8715 of 70,50%21%,38 of 7913 of 65,6 of 81 of 3,0 of 01 of 2,44 of 8715 of 70
UFC Fight Night: Lewis vs. Oleinik,Andrew Sanchez vs. Wellington Turman,Total,Andrew Sanchez,10,28 of 5521 of 51,50%41%,40 of 6826 of 56,0 of 10 of 1,0%0%,00,00,1:110:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Andrew Sanchez vs. Wellington Turman,Total,Andrew Sanchez,10,28 of 5521 of 51,50%41%,40 of 6826 of 56,0 of 10 of 1,0%0%,00,00,1:110:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Andrew Sanchez vs. Wellington Turman,Total,Andrew Sanchez,,,,,,,,,,28 of 5521 of 51,50%41%,23 of 4816 of 40,4 of 61 of 7,1 of 14 of 4,26 of 5321 of 51
UFC Fight Night: Lewis vs. Oleinik,Gavin Tucker vs. Justin Jaynes,Total,Gavin Tucker,01,87 of 21141 of 101,41%40%,88 of 21242 of 103,1 of 20 of 1,50%0%,41,11,1:240:38,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Gavin Tucker vs. Justin Jaynes,Total,Gavin Tucker,01,15 of 4828 of 54,31%51%,16 of 4929 of 55,1 of 10 of 0,100%---,11,11,0:350:38,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Gavin Tucker vs. Justin Jaynes,Total,Gavin Tucker,00,63 of 1376 of 30,45%20%,63 of 1376 of 30,0 of 00 of 0,------,00,00,0:000:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Gavin Tucker vs. Justin Jaynes,Total,Gavin Tucker,00,9 of 267 of 17,34%41%,9 of 267 of 18,0 of 10 of 1,0%0%,30,00,0:490:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Gavin Tucker vs. Justin Jaynes,Total,Gavin Tucker,,,,,,,,,,15 of 4828 of 54,31%51%,8 of 3719 of 40,6 of 99 of 14,1 of 20 of 0,15 of 4819 of 41
UFC Fight Night: Lewis vs. Oleinik,Gavin Tucker vs. Justin Jaynes,Total,Gavin Tucker,,,,,,,,,,63 of 1376 of 30,45%20%,45 of 1155 of 28,16 of 201 of 2,2 of 20 of 0,63 of 1376 of 30
UFC Fight Night: Lewis vs. Oleinik,Gavin Tucker vs. Justin Jaynes,Total,Gavin Tucker,,,,,,,,,,9 of 267 of 17,34%41%,8 of 256 of 16,1 of 11 of 1,0 of 00 of 0,8 of 226 of 16
UFC Fight Night: Lewis vs. Oleinik,Youssef Zalal vs. Peter Barrett,Total,Youssef Zalal,10,54 of 9223 of 57,58%40%,82 of 12968 of 107,3 of 50 of 2,60%0%,30,00,6:541:34,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Youssef Zalal vs. Peter Barrett,Total,Youssef Zalal,10,32 of 538 of 28,60%28%,40 of 6320 of 40,0 of 00 of 1,---0%,00,00,0:280:43,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Youssef Zalal vs. Peter Barrett,Total,Youssef Zalal,00,6 of 115 of 8,54%62%,17 of 2917 of 23,1 of 20 of 0,50%---,20,00,3:420:17,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Youssef Zalal vs. Peter Barrett,Total,Youssef Zalal,00,16 of 2810 of 21,57%47%,25 of 3731 of 44,2 of 30 of 1,66%0%,10,00,2:440:34,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Youssef Zalal vs. Peter Barrett,Total,Youssef Zalal,,,,,,,,,,32 of 538 of 28,60%28%,24 of 443 of 22,3 of 45 of 5,5 of 50 of 1,21 of 384 of 24
UFC Fight Night: Lewis vs. Oleinik,Youssef Zalal vs. Peter Barrett,Total,Youssef Zalal,,,,,,,,,,6 of 115 of 8,54%62%,2 of 60 of 3,3 of 44 of 4,1 of 11 of 1,6 of 113 of 6
UFC Fight Night: Lewis vs. Oleinik,Youssef Zalal vs. Peter Barrett,Total,Youssef Zalal,,,,,,,,,,16 of 2810 of 21,57%47%,14 of 2410 of 18,0 of 20 of 3,2 of 20 of 0,14 of 218 of 18
UFC Fight Night: Lewis vs. Oleinik,Irwin Rivera vs. Ali AlQaisi,Total,Irwin Rivera,00,36 of 7344 of 105,49%41%,45 of 8254 of 118,2 of 52 of 9,40%22%,01,00,1:021:55,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Irwin Rivera vs. Ali AlQaisi,Total,Irwin Rivera,00,6 of 157 of 16,40%43%,9 of 1817 of 28,1 of 11 of 3,100%33%,01,00,0:451:36,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Irwin Rivera vs. Ali AlQaisi,Total,Irwin Rivera,00,13 of 2918 of 48,44%37%,15 of 3118 of 48,0 of 30 of 3,0%0%,00,00,0:040:00,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Irwin Rivera vs. Ali AlQaisi,Total,Irwin Rivera,00,17 of 2919 of 41,58%46%,21 of 3319 of 42,1 of 11 of 3,100%33%,00,00,0:130:19,,,,,,
UFC Fight Night: Lewis vs. Oleinik,Irwin Rivera vs. Ali AlQaisi,Total,Irwin Rivera,,,,,,,,,,6 of 157 of 16,40%43%,4 of 125 of 14,2 of 30 of 0,0 of 02 of 2,6 of 146 of 14
UFC Fight Night: Lewis vs. Oleinik,Irwin Rivera vs. Ali AlQaisi,Total,Irwin Rivera,,,,,,,,,,13 of 2918 of 48,44%37%,12 of 2410 of 39,1 of 45 of 6,0 of 13 of 3,7 of 2214 of 44
UFC Fight Night: Lewis vs. Oleinik,Irwin Rivera vs. Ali AlQaisi,Total,Irwin Rivera,,,,,,,,,,17 of 2919 of 41,58%46%,14 of 2513 of 33,2 of 32 of 3,1 of 14 of 5,15 of 2616 of 38
UFC Fight Night: Brunson vs. Shahbazyan,Derek Brunson vs. Edmen Shahbazyan,Total,Derek Brunson,00,88 of 14535 of 72,60%48%,107 of 16438 of 75,4 of 80 of 0,50%---,00,00,3:060:03,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Derek Brunson vs. Edmen Shahbazyan,Total,Derek Brunson,00,29 of 5024 of 41,58%58%,32 of 5325 of 42,1 of 30 of 0,33%---,00,00,0:590:00,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Derek Brunson vs. Edmen Shahbazyan,Total,Derek Brunson,00,54 of 8511 of 31,63%35%,69 of 10013 of 33,2 of 40 of 0,50%---,00,00,2:010:03,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Derek Brunson vs. Edmen Shahbazyan,Total,Derek Brunson,00,5 of 100 of 0,50%---,6 of 110 of 0,1 of 10 of 0,100%---,00,00,0:060:00,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Derek Brunson vs. Edmen Shahbazyan,Total,Derek Brunson,,,,,,,,,,29 of 5024 of 41,58%58%,12 of 2911 of 24,8 of 1013 of 17,9 of 110 of 0,24 of 4416 of 33
UFC Fight Night: Brunson vs. Shahbazyan,Derek Brunson vs. Edmen Shahbazyan,Total,Derek Brunson,,,,,,,,,,54 of 8511 of 31,63%35%,42 of 696 of 26,7 of 115 of 5,5 of 50 of 0,27 of 4410 of 30
UFC Fight Night: Brunson vs. Shahbazyan,Derek Brunson vs. Edmen Shahbazyan,Total,Derek Brunson,,,,,,,,,,5 of 100 of 0,50%---,4 of 80 of 0,0 of 00 of 0,1 of 20 of 0,2 of 70 of 0
UFC Fight Night: Brunson vs. Shahbazyan,Jennifer Maia vs. Joanne Wood,Total,Joanne Wood,00,26 of 4920 of 37,53%54%,33 of 5731 of 49,1 of 10 of 0,100%---,01,00,2:110:00,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Jennifer Maia vs. Joanne Wood,Total,Joanne Wood,00,26 of 4920 of 37,53%54%,33 of 5731 of 49,1 of 10 of 0,100%---,01,00,2:110:00,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Jennifer Maia vs. Joanne Wood,Total,Joanne Wood,,,,,,,,,,26 of 4920 of 37,53%54%,6 of 2516 of 32,9 of 93 of 4,11 of 151 of 1,24 of 4518 of 35
UFC Fight Night: Brunson vs. Shahbazyan,Vicente Luque vs. Randy Brown,Total,Vicente Luque,20,64 of 12261 of 133,52%45%,76 of 13466 of 138,0 of 01 of 2,---50%,00,00,1:060:52,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Vicente Luque vs. Randy Brown,Total,Vicente Luque,10,27 of 5025 of 58,54%43%,37 of 6027 of 60,0 of 00 of 1,---0%,00,00,0:420:24,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Vicente Luque vs. Randy Brown,Total,Vicente Luque,10,37 of 7236 of 75,51%48%,39 of 7439 of 78,0 of 01 of 1,---100%,00,00,0:240:28,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Vicente Luque vs. Randy Brown,Total,Vicente Luque,,,,,,,,,,27 of 5025 of 58,54%43%,11 of 3211 of 41,1 of 24 of 7,15 of 1610 of 10,26 of 4623 of 55
UFC Fight Night: Brunson vs. Shahbazyan,Vicente Luque vs. Randy Brown,Total,Vicente Luque,,,,,,,,,,37 of 7236 of 75,51%48%,22 of 5624 of 61,4 of 49 of 11,11 of 123 of 3,30 of 6530 of 67
UFC Fight Night: Brunson vs. Shahbazyan,King Green vs. Lando Vannata,Total,Lando Vannata,01,54 of 127115 of 195,42%58%,64 of 139136 of 219,1 of 23 of 3,50%100%,00,00,0:273:05,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,King Green vs. Lando Vannata,Total,Lando Vannata,00,29 of 5935 of 71,49%49%,29 of 5937 of 73,0 of 11 of 1,0%100%,00,00,0:120:23,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,King Green vs. Lando Vannata,Total,Lando Vannata,00,12 of 3734 of 61,32%55%,16 of 4238 of 67,1 of 11 of 1,100%100%,00,00,0:150:46,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,King Green vs. Lando Vannata,Total,Lando Vannata,01,13 of 3146 of 63,41%73%,19 of 3861 of 79,0 of 01 of 1,---100%,00,00,0:001:56,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,King Green vs. Lando Vannata,Total,Lando Vannata,,,,,,,,,,29 of 5935 of 71,49%49%,19 of 4820 of 53,9 of 105 of 7,1 of 110 of 11,25 of 5432 of 66
UFC Fight Night: Brunson vs. Shahbazyan,King Green vs. Lando Vannata,Total,Lando Vannata,,,,,,,,,,12 of 3734 of 61,32%55%,5 of 2816 of 36,3 of 56 of 13,4 of 412 of 12,9 of 3332 of 59
UFC Fight Night: Brunson vs. Shahbazyan,King Green vs. Lando Vannata,Total,Lando Vannata,,,,,,,,,,13 of 3146 of 63,41%73%,7 of 2331 of 46,4 of 69 of 10,2 of 26 of 7,11 of 2825 of 35
UFC Fight Night: Brunson vs. Shahbazyan,Jonathan Martinez vs. Frankie Saenz,Total,Frankie Saenz,03,39 of 7279 of 133,54%59%,52 of 8588 of 143,1 of 41 of 1,25%100%,00,00,1:100:45,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Jonathan Martinez vs. Frankie Saenz,Total,Frankie Saenz,00,18 of 3122 of 47,58%46%,30 of 4326 of 52,1 of 20 of 0,50%---,00,00,1:100:00,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Jonathan Martinez vs. Frankie Saenz,Total,Frankie Saenz,02,16 of 3352 of 76,48%68%,16 of 3357 of 81,0 of 21 of 1,0%100%,00,00,0:000:43,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Jonathan Martinez vs. Frankie Saenz,Total,Frankie Saenz,01,5 of 85 of 10,62%50%,6 of 95 of 10,0 of 00 of 0,------,00,00,0:000:02,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Jonathan Martinez vs. Frankie Saenz,Total,Frankie Saenz,,,,,,,,,,18 of 3122 of 47,58%46%,3 of 1610 of 27,1 of 110 of 18,14 of 142 of 2,10 of 2321 of 46
UFC Fight Night: Brunson vs. Shahbazyan,Jonathan Martinez vs. Frankie Saenz,Total,Frankie Saenz,,,,,,,,,,16 of 3352 of 76,48%68%,7 of 2233 of 53,6 of 818 of 22,3 of 31 of 1,15 of 3233 of 55
UFC Fight Night: Brunson vs. Shahbazyan,Jonathan Martinez vs. Frankie Saenz,Total,Frankie Saenz,,,,,,,,,,5 of 85 of 10,62%50%,2 of 55 of 10,1 of 10 of 0,2 of 20 of 0,5 of 83 of 6
UFC Fight Night: Brunson vs. Shahbazyan,Nate Maness vs. Johnny Munoz,Total,Johnny Munoz,00,49 of 7821 of 50,62%42%,129 of 168158 of 194,2 of 161 of 1,12%100%,10,00,9:421:29,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Nate Maness vs. Johnny Munoz,Total,Johnny Munoz,00,19 of 382 of 15,50%13%,51 of 7812 of 25,1 of 60 of 0,16%---,00,00,3:160:00,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Nate Maness vs. Johnny Munoz,Total,Johnny Munoz,00,14 of 2210 of 18,63%55%,33 of 4266 of 78,1 of 70 of 0,14%---,00,00,2:460:38,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Nate Maness vs. Johnny Munoz,Total,Johnny Munoz,00,16 of 189 of 17,88%52%,45 of 4880 of 91,0 of 31 of 1,0%100%,10,00,3:400:51,,,,,,
UFC Fight Night: Brunson vs. Shahbazyan,Nate Maness vs. Johnny Munoz,Total,Johnny Munoz,,,,,,,,,,19 of 382 of 15,50%13%,13 of 252 of 15,3 of 80 of 0,3 of 50 of 0,5 of 202 of 15
