fighter_name,first_name,last_name,nickname,fighter_url,height,weight,reach,stance,wins,losses,draws
Aleksandra Albu,Aleksandra,Albu,Stitch,http://www.ufcstats.com/fighter-details/e76d9f656ceb82ab,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0
Israel Albuquerque,Israel,Albuquerque,,http://www.ufcstats.com/fighter-details/dd1b90eea08887f6,--,185 lbs.,--,Orthodox,0,3,0
Juan Alcain,Juan,Alcain,,http://www.ufcstats.com/fighter-details/39f62b833e4cf126,--,--,--,,1,2,0
Iuri Alcantara,Iuri,Alcantara,Marajo,http://www.ufcstats.com/fighter-details/2f95a3c6d58b2aad,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0
Ildemar Alcantara,Ildemar,Alcantara,Marajo,http://www.ufcstats.com/fighter-details/7c6e87729e824ef4,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0
Alfonso Alcarez,Alfonso,Alcarez,,http://www.ufcstats.com/fighter-details/1e38bba6738b7b10,"5' 3""",145 lbs.,--,,1,3,1
Gilbert Aldana,Gilbert,Aldana,El Peligro,http://www.ufcstats.com/fighter-details/d26934530dc5b248,"6' 1""",250 lbs.,--,Orthodox,6,2,0
Irene Aldana,Irene,Aldana,,http://www.ufcstats.com/fighter-details/578ef12674df1e6a,"5' 9""",135 lbs.,"68.0""",Orthodox,15,8,0
Hector Aldana,Hector,Aldana,,http://www.ufcstats.com/fighter-details/c487223b0289bda9,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0
Jose Alday,Jose,Alday,Pochito,http://www.ufcstats.com/fighter-details/7460ddef986d3144,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1
Jose Aldo,Jose,Aldo,,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6,"5' 7""",135 lbs.,"70.0""",Orthodox,32,10,0
JJ Aldrich,JJ,Aldrich,,http://www.ufcstats.com/fighter-details/6fd953151d981979,"5' 5""",125 lbs.,"67.0""",Southpaw,15,7,0
Irina Alekseeva,Irina,Alekseeva,Russian Ronda,http://www.ufcstats.com/fighter-details/103e2e33a60683e1,"5' 8""",135 lbs.,"67.0""",Orthodox,5,4,0
Talita Alencar,Talita,Alencar,Problem Child,http://www.ufcstats.com/fighter-details/d35298b6df168456,"5' 1""",115 lbs.,"58.0""",Orthodox,8,1,1
Jim Alers,Jim,Alers,The Beast,http://www.ufcstats.com/fighter-details/fe5a9547479396ab,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0
John Alessio,John,Alessio,The Natural,http://www.ufcstats.com/fighter-details/7a15f3694c5cbc02,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0
Houston Alexander,Houston,Alexander,The Assassin,http://www.ufcstats.com/fighter-details/0541480fbf719d86,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1
Kenneth Alexander,Kenneth,Alexander,The Machine,http://www.ufcstats.com/fighter-details/8fd76e1b49c00ae2,"5' 9""",155 lbs.,--,Orthodox,7,6,0
Lucas Alexander,Lucas,Alexander,The Lion,http://www.ufcstats.com/fighter-details/11583163f45c7b31,"5' 11""",145 lbs.,"73.0""",Orthodox,8,5,0
Marcio Alexandre Junior,Marcio,Alexandre Junior,Lyoto,http://www.ufcstats.com/fighter-details/d53482bef23235ba,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0
